LAT, LON, OBS., TOWN#, TRACT, MEDV, CMEDV, CRIM, ZN, INDUS, CHAS, NOX, RM, AGE, DIS, RAD, TAX, PTRATIO, B, LSTAT
42.277600, -70.988000, 1920, 4, 2057, 18.2, 18.2, 0.72580, 0.0, 8.14, 0, 0.538, 5.727, 69.5, 3.7965, 4, 307, 21.0, 390.95, 11.28
42.277000, -70.983500, 1921, 4, 2058, 13.6, 13.6, 1.25179, 0.0, 8.14, 0, 0.538, 5.570, 98.1, 3.7979, 4, 307, 21.0, 376.57, 21.02
42.281000, -70.982000, 1922, 4, 2059, 19.6, 19.6, 0.85204, 0.0, 8.14, 0, 0.538, 5.965, 89.2, 4.0123, 4, 307, 21.0, 392.53, 13.83
42.279000, -70.977500, 1923, 4, 2060, 15.2, 15.2, 1.23247, 0.0, 8.14, 0, 0.538, 6.142, 91.7, 3.9769, 4, 307, 21.0, 396.90, 18.72
42.279000, -70.973000, 1924, 4, 2061, 14.5, 14.5, 0.98843, 0.0, 8.14, 0, 0.538, 5.813, 100.0, 4.0952, 4, 307, 21.0, 394.54, 19.88
42.281600, -70.969300, 1925, 4, 2062, 15.6, 15.6, 0.75026, 0.0, 8.14, 0, 0.538, 5.924, 94.1, 4.3996, 4, 307, 21.0, 394.33, 16.30
42.284000, -70.964000, 1926, 4, 2063, 13.9, 13.9, 0.84054, 0.0, 8.14, 0, 0.538, 5.599, 85.7, 4.4546, 4, 307, 21.0, 303.42, 16.51
42.287000, -70.959700, 1927, 4, 2064, 16.6, 16.6, 0.67191, 0.0, 8.14, 0, 0.538, 5.813, 90.3, 4.6820, 4, 307, 21.0, 376.88, 14.81
42.282500, -70.959700, 1928, 4, 2065, 14.8, 14.8, 0.95577, 0.0, 8.14, 0, 0.538, 6.047, 88.8, 4.4534, 4, 307, 21.0, 306.38, 17.28
42.280000, -70.957000, 1929, 4, 2066, 18.4, 18.4, 0.77299, 0.0, 8.14, 0, 0.538, 6.495, 94.4, 4.4547, 4, 307, 21.0, 387.94, 12.80
42.278000, -70.951000, 1930, 4, 2067, 21.0, 21.0, 1.00245, 0.0, 8.14, 0, 0.538, 6.674, 87.3, 4.2390, 4, 307, 21.0, 380.23, 11.98
42.279000, -70.967000, 1931, 4, 2068, 12.7, 12.7, 1.13081, 0.0, 8.14, 0, 0.538, 5.713, 94.1, 4.2330, 4, 307, 21.0, 360.17, 22.60
42.276500, -70.964000, 1932, 4, 2069, 14.5, 14.5, 1.35472, 0.0, 8.14, 0, 0.538, 6.072, 100.0, 4.1750, 4, 307, 21.0, 376.73, 13.04
42.276500, -70.972000, 1933, 4, 2070, 13.2, 13.2, 1.38799, 0.0, 8.14, 0, 0.538, 5.950, 82.0, 3.9900, 4, 307, 21.0, 232.60, 27.71
42.276000, -70.979500, 1934, 4, 2071, 13.1, 13.1, 1.15172, 0.0, 8.14, 0, 0.538, 5.701, 95.0, 3.7872, 4, 307, 21.0, 358.77, 18.35
42.272000, -70.977500, 1935, 4, 2072, 13.5, 13.5, 1.61282, 0.0, 8.14, 0, 0.538, 6.096, 96.9, 3.7598, 4, 307, 21.0, 248.31, 20.34
42.270000, -71.000000, 1936, 5, 2081, 18.9, 18.9, 0.06417, 0.0, 5.96, 0, 0.499, 5.933, 68.2, 3.3603, 5, 279, 19.2, 396.90, 9.68
42.274500, -71.008000, 1937, 5, 2082, 20.0, 20.0, 0.09744, 0.0, 5.96, 0, 0.499, 5.841, 61.4, 3.3779, 5, 279, 19.2, 377.56, 11.41
42.286500, -71.004000, 1938, 5, 2083, 21.0, 21.0, 0.08014, 0.0, 5.96, 0, 0.499, 5.850, 41.5, 3.9342, 5, 279, 19.2, 396.90, 8.77
42.287500, -71.020000, 1939, 5, 2084, 24.7, 24.2, 0.17505, 0.0, 5.96, 0, 0.499, 5.966, 30.2, 3.8473, 5, 279, 19.2, 393.43, 10.13
42.313000, -71.013000, 1940, 6, 2091, 30.8, 30.8, 0.02763, 75.0, 2.95, 0, 0.428, 6.595, 21.8, 5.4011, 3, 252, 18.3, 395.63, 4.32
42.324000, -71.030000, 1941, 6, 2092, 34.9, 34.9, 0.03359, 75.0, 2.95, 0, 0.428, 7.024, 15.8, 5.4011, 3, 252, 18.3, 395.62, 1.98
42.335000, -71.004000, 1942, 7, 2101, 26.6, 26.6, 0.12744, 0.0, 6.91, 0, 0.448, 6.770, 2.9, 5.7209, 3, 233, 17.9, 385.41, 4.84
42.323500, -71.003000, 1943, 7, 2102, 25.3, 25.3, 0.14150, 0.0, 6.91, 0, 0.448, 6.169, 6.6, 5.7209, 3, 233, 17.9, 383.37, 5.81
42.323700, -70.977500, 1944, 7, 2103, 24.7, 24.7, 0.15936, 0.0, 6.91, 0, 0.448, 6.211, 6.5, 5.7209, 3, 233, 17.9, 394.46, 7.44
42.317000, -70.967500, 1945, 7, 2104, 21.2, 21.2, 0.12269, 0.0, 6.91, 0, 0.448, 6.069, 40.0, 5.7209, 3, 233, 17.9, 389.39, 9.55
42.307500, -70.972500, 1946, 7, 2105, 19.3, 19.3, 0.17142, 0.0, 6.91, 0, 0.448, 5.682, 33.8, 5.1004, 3, 233, 17.9, 396.90, 10.21
42.307500, -70.965000, 1947, 7, 2106, 20.0, 20.0, 0.18836, 0.0, 6.91, 0, 0.448, 5.786, 33.3, 5.1004, 3, 233, 17.9, 396.90, 14.15
42.312500, -70.956000, 1948, 7, 2107, 16.6, 16.6, 0.22927, 0.0, 6.91, 0, 0.448, 6.030, 85.5, 5.6894, 3, 233, 17.9, 392.74, 18.80
42.316500, -70.955000, 1949, 7, 2108, 14.4, 14.4, 0.25387, 0.0, 6.91, 0, 0.448, 5.399, 95.3, 5.8700, 3, 233, 17.9, 396.90, 30.81
42.320800, -70.952500, 1950, 7, 2109, 19.4, 19.4, 0.21977, 0.0, 6.91, 0, 0.448, 5.602, 62.0, 6.0877, 3, 233, 17.9, 396.90, 16.20
42.334000, -70.951000, 1951, 8, 2111, 19.7, 19.7, 0.08873, 21.0, 5.64, 0, 0.439, 5.963, 45.7, 6.8147, 4, 243, 16.8, 395.56, 13.45
42.338200, -70.963000, 1952, 8, 2112, 20.5, 20.5, 0.04337, 21.0, 5.64, 0, 0.439, 6.115, 63.0, 6.8147, 4, 243, 16.8, 393.97, 9.43
42.346000, -70.958000, 1953, 8, 2113, 25.0, 25.0, 0.05360, 21.0, 5.64, 0, 0.439, 6.511, 21.1, 6.8147, 4, 243, 16.8, 396.90, 5.28
42.342500, -70.978000, 1954, 8, 2114, 23.4, 23.4, 0.04981, 21.0, 5.64, 0, 0.439, 5.998, 21.4, 6.8147, 4, 243, 16.8, 396.90, 8.43
42.371500, -71.017500, 1955, 9, 2121, 18.9, 18.9, 0.01360, 75.0, 4, 0, 0.41, 5.888, 47.6, 7.3197, 3, 469, 21.1, 396.90, 14.80
42.381000, -70.962500, 1956, 10, 2141, 35.4, 35.4, 0.01311, 90.0, 1.22, 0, 0.403, 7.249, 21.9, 8.6966, 5, 226, 17.9, 395.93, 4.81
42.374000, -70.930000, 1957, 11, 2151, 24.7, 24.7, 0.02055, 85.0, 0.74, 0, 0.41, 6.383, 35.7, 9.1876, 2, 313, 17.3, 396.90, 5.77
42.371500, -70.929500, 1958, 12, 2161, 31.6, 31.6, 0.01432, 100.0, 1.32, 0, 0.411, 6.816, 40.5, 8.3248, 5, 256, 15.1, 392.90, 3.95
42.346000, -70.938500, 1959, 13, 2171, 23.3, 23.3, 0.15445, 25.0, 5.13, 0, 0.453, 6.145, 29.2, 7.8148, 8, 284, 19.7, 390.68, 6.86
42.332000, -70.940000, 1960, 13, 2172, 19.6, 19.6, 0.10328, 25.0, 5.13, 0, 0.453, 5.927, 47.2, 6.9320, 8, 284, 19.7, 396.90, 9.22
42.337000, -70.930000, 1961, 13, 2173, 18.7, 18.7, 0.14932, 25.0, 5.13, 0, 0.453, 5.741, 66.2, 7.2254, 8, 284, 19.7, 395.11, 13.15
42.327500, -70.930000, 1962, 13, 2174, 16.0, 16.0, 0.17171, 25.0, 5.13, 0, 0.453, 5.966, 93.4, 6.8185, 8, 284, 19.7, 378.08, 14.44
42.332000, -70.921500, 1963, 13, 2175, 22.2, 22.2, 0.11027, 25.0, 5.13, 0, 0.453, 6.456, 67.8, 7.2255, 8, 284, 19.7, 396.90, 6.73
42.339000, -70.907500, 1964, 13, 2176, 25.0, 25.0, 0.12650, 25.0, 5.13, 0, 0.453, 6.762, 43.4, 7.9809, 8, 284, 19.7, 395.58, 9.50
42.345000, -70.860000, 1965, 14, 2181, 33.0, 33.0, 0.01951, 17.5, 1.38, 0, 0.4161, 7.104, 59.5, 9.2229, 3, 216, 18.6, 393.24, 8.05
42.345000, -71.045000, 1966, 15, 3301, 23.5, 23.5, 0.03584, 80.0, 3.37, 0, 0.398, 6.290, 17.8, 6.6115, 4, 337, 16.1, 396.90, 4.67
42.352500, -71.069000, 1967, 15, 3302, 19.4, 19.4, 0.04379, 80.0, 3.37, 0, 0.398, 5.787, 31.1, 6.6115, 4, 337, 16.1, 396.90, 10.24
42.336200, -71.090000, 1968, 16, 3311, 22.0, 22.0, 0.05789, 12.5, 6.07, 0, 0.409, 5.878, 21.4, 6.4980, 4, 345, 18.9, 396.21, 8.10
42.340000, -71.108000, 1969, 16, 3312, 17.4, 17.4, 0.13554, 12.5, 6.07, 0, 0.409, 5.594, 36.8, 6.4980, 4, 345, 18.9, 396.90, 13.09
42.327000, -71.111000, 1970, 16, 3313, 20.9, 20.9, 0.12816, 12.5, 6.07, 0, 0.409, 5.885, 33.0, 6.4980, 4, 345, 18.9, 396.90, 8.79
42.316000, -71.121000, 1971, 17, 3321, 24.2, 24.2, 0.08826, 0.0, 10.81, 0, 0.413, 6.417, 6.6, 5.2873, 4, 305, 19.2, 383.73, 6.72
42.300800, -71.109500, 1972, 17, 3322, 21.7, 21.7, 0.15876, 0.0, 10.81, 0, 0.413, 5.961, 17.5, 5.2873, 4, 305, 19.2, 376.94, 9.88
42.305000, -71.130000, 1973, 17, 3323, 22.8, 22.8, 0.09164, 0.0, 10.81, 0, 0.413, 6.065, 7.8, 5.2873, 4, 305, 19.2, 390.91, 5.52
42.292000, -71.123000, 1974, 17, 3324, 23.4, 23.4, 0.19539, 0.0, 10.81, 0, 0.413, 6.245, 6.2, 5.2873, 4, 305, 19.2, 377.17, 7.54
42.289000, -71.110500, 1975, 18, 3331, 24.1, 24.1, 0.07896, 0.0, 12.83, 0, 0.437, 6.273, 6.0, 4.2515, 5, 398, 18.7, 394.92, 6.78
42.287500, -71.100000, 1976, 18, 3332, 21.4, 21.4, 0.09512, 0.0, 12.83, 0, 0.437, 6.286, 45.0, 4.5026, 5, 398, 18.7, 383.23, 8.94
42.283500, -71.090000, 1977, 18, 3333, 20.0, 20.0, 0.10153, 0.0, 12.83, 0, 0.437, 6.279, 74.5, 4.0522, 5, 398, 18.7, 373.66, 11.97
42.289500, -71.076000, 1978, 18, 3334, 20.8, 20.8, 0.08707, 0.0, 12.83, 0, 0.437, 6.140, 45.8, 4.0905, 5, 398, 18.7, 386.96, 10.27
42.295000, -71.090500, 1979, 18, 3335, 21.2, 21.2, 0.05646, 0.0, 12.83, 0, 0.437, 6.232, 53.7, 5.0141, 5, 398, 18.7, 386.40, 12.34
42.305000, -71.091000, 1980, 18, 3336, 20.3, 20.3, 0.08387, 0.0, 12.83, 0, 0.437, 5.874, 36.6, 4.5026, 5, 398, 18.7, 396.06, 9.10
42.308000, -71.068500, 1981, 19, 3341, 28.0, 28.0, 0.04113, 25.0, 4.86, 0, 0.426, 6.727, 33.5, 5.4007, 4, 281, 19.0, 396.90, 5.29
42.315000, -71.069000, 1982, 19, 3342, 23.9, 23.9, 0.04462, 25.0, 4.86, 0, 0.426, 6.619, 70.4, 5.4007, 4, 281, 19.0, 395.63, 7.22
42.326000, -71.067500, 1983, 19, 3343, 24.8, 24.8, 0.03659, 25.0, 4.86, 0, 0.426, 6.302, 32.2, 5.4007, 4, 281, 19.0, 396.90, 6.72
42.317000, -71.057500, 1984, 19, 3344, 22.9, 22.9, 0.03551, 25.0, 4.86, 0, 0.426, 6.167, 46.7, 5.4007, 4, 281, 19.0, 390.64, 7.51
42.307500, -71.043000, 1985, 20, 3351, 23.9, 23.9, 0.05059, 0.0, 4.49, 0, 0.449, 6.389, 48.0, 4.7794, 3, 247, 18.5, 396.90, 9.62
42.300000, -71.050000, 1986, 20, 3352, 26.6, 26.6, 0.05735, 0.0, 4.49, 0, 0.449, 6.630, 56.1, 4.4377, 3, 247, 18.5, 392.30, 6.53
42.305000, -71.033000, 1987, 20, 3353, 22.5, 22.5, 0.05188, 0.0, 4.49, 0, 0.449, 6.015, 45.1, 4.4272, 3, 247, 18.5, 395.99, 12.86
42.288500, -71.039000, 1988, 20, 3354, 22.2, 22.2, 0.07151, 0.0, 4.49, 0, 0.449, 6.121, 56.8, 3.7476, 3, 247, 18.5, 395.15, 8.44
42.279600, -71.042000, 1989, 21, 3361, 23.6, 23.6, 0.05660, 0.0, 3.41, 0, 0.489, 7.007, 86.3, 3.4217, 2, 270, 17.8, 396.90, 5.50
42.278500, -71.034500, 1990, 21, 3362, 28.7, 28.7, 0.05302, 0.0, 3.41, 0, 0.489, 7.079, 63.1, 3.4145, 2, 270, 17.8, 396.06, 5.70
42.272000, -71.030000, 1991, 21, 3363, 22.6, 22.6, 0.04684, 0.0, 3.41, 0, 0.489, 6.417, 66.1, 3.0923, 2, 270, 17.8, 392.18, 8.81
42.271500, -71.042500, 1992, 21, 3364, 22.0, 22.0, 0.03932, 0.0, 3.41, 0, 0.489, 6.405, 73.9, 3.0921, 2, 270, 17.8, 393.55, 8.20
42.283000, -71.053000, 1993, 22, 3371, 22.9, 22.9, 0.04203, 28.0, 15.04, 0, 0.464, 6.442, 53.6, 3.6659, 4, 270, 18.2, 395.01, 8.16
42.296000, -71.062000, 1994, 22, 3372, 25.0, 25.0, 0.02875, 28.0, 15.04, 0, 0.464, 6.211, 28.9, 3.6659, 4, 270, 18.2, 396.33, 6.21
42.284000, -71.061500, 1995, 22, 3373, 20.6, 20.6, 0.04294, 28.0, 15.04, 0, 0.464, 6.249, 77.3, 3.6150, 4, 270, 18.2, 396.90, 10.59
42.277500, -71.076000, 1996, 23, 3381, 28.4, 28.4, 0.12204, 0.0, 2.89, 0, 0.445, 6.625, 57.8, 3.4952, 2, 276, 18.0, 357.98, 6.65
42.277500, -71.085000, 1997, 23, 3382, 21.4, 21.4, 0.11504, 0.0, 2.89, 0, 0.445, 6.163, 69.6, 3.4952, 2, 276, 18.0, 391.83, 11.34
42.271500, -71.089000, 1998, 23, 3383, 38.7, 38.7, 0.12083, 0.0, 2.89, 0, 0.445, 8.069, 76.0, 3.4952, 2, 276, 18.0, 396.90, 4.21
42.268500, -71.098200, 1999, 23, 3384, 43.8, 43.8, 0.08187, 0.0, 2.89, 0, 0.445, 7.820, 36.9, 3.4952, 2, 276, 18.0, 393.53, 3.57
42.268000, -71.080000, 2000, 23, 3385, 33.2, 33.2, 0.06860, 0.0, 2.89, 0, 0.445, 7.416, 62.5, 3.4952, 2, 276, 18.0, 396.90, 6.19
42.254500, -71.066800, 2001, 24, 3391, 27.5, 27.5, 0.14866, 0.0, 8.56, 0, 0.52, 6.727, 79.9, 2.7778, 5, 384, 20.9, 394.76, 9.42
42.245000, -71.081000, 2002, 24, 3392, 26.5, 26.5, 0.11432, 0.0, 8.56, 0, 0.52, 6.781, 71.3, 2.8561, 5, 384, 20.9, 395.58, 7.67
42.251500, -71.081200, 2003, 24, 3393, 18.6, 18.6, 0.22876, 0.0, 8.56, 0, 0.52, 6.405, 85.4, 2.7147, 5, 384, 20.9, 70.80, 10.63
42.249000, -71.077000, 2004, 24, 3394, 19.3, 19.3, 0.21161, 0.0, 8.56, 0, 0.52, 6.137, 87.4, 2.7147, 5, 384, 20.9, 394.47, 13.44
42.248000, -71.069000, 2005, 24, 3395, 20.1, 20.1, 0.13960, 0.0, 8.56, 0, 0.52, 6.167, 90.0, 2.4210, 5, 384, 20.9, 392.69, 12.33
42.242500, -71.066200, 2006, 24, 3396, 19.5, 19.5, 0.13262, 0.0, 8.56, 0, 0.52, 5.851, 96.7, 2.1069, 5, 384, 20.9, 394.05, 16.47
42.243100, -71.062200, 2007, 24, 3397, 19.5, 19.5, 0.17120, 0.0, 8.56, 0, 0.52, 5.836, 91.9, 2.2110, 5, 384, 20.9, 395.67, 18.66
42.246500, -71.055300, 2008, 24, 3398, 20.4, 20.4, 0.13117, 0.0, 8.56, 0, 0.52, 6.127, 85.2, 2.1224, 5, 384, 20.9, 387.69, 14.09
42.250500, -71.055000, 2009, 24, 3399, 19.8, 19.8, 0.12802, 0.0, 8.56, 0, 0.52, 6.474, 97.1, 2.4329, 5, 384, 20.9, 395.24, 12.27
42.254000, -71.060000, 2010, 24, 3400, 19.4, 19.4, 0.26363, 0.0, 8.56, 0, 0.52, 6.229, 91.2, 2.5451, 5, 384, 20.9, 391.23, 15.55
42.260500, -71.056000, 2011, 24, 3401, 21.7, 21.7, 0.10793, 0.0, 8.56, 0, 0.52, 6.195, 54.4, 2.7778, 5, 384, 20.9, 393.49, 13.00
42.261000, -71.047500, 2012, 25, 3411, 22.8, 22.8, 0.10084, 0.0, 10.01, 0, 0.547, 6.715, 81.6, 2.6775, 6, 432, 17.8, 395.59, 10.16
42.253000, -71.049000, 2013, 25, 3412, 18.8, 18.8, 0.12329, 0.0, 10.01, 0, 0.547, 5.913, 92.9, 2.3534, 6, 432, 17.8, 394.95, 16.21
42.258000, -71.042800, 2014, 25, 3413, 18.7, 18.7, 0.22212, 0.0, 10.01, 0, 0.547, 6.092, 95.4, 2.5480, 6, 432, 17.8, 396.90, 17.09
42.251200, -71.039600, 2015, 25, 3414, 18.5, 18.5, 0.14231, 0.0, 10.01, 0, 0.547, 6.254, 84.2, 2.2565, 6, 432, 17.8, 388.74, 10.45
42.254500, -71.035500, 2016, 25, 3415, 18.3, 18.3, 0.17134, 0.0, 10.01, 0, 0.547, 5.928, 88.2, 2.4631, 6, 432, 17.8, 344.91, 15.76
42.260800, -71.036000, 2017, 25, 3416, 21.2, 21.2, 0.13158, 0.0, 10.01, 0, 0.547, 6.176, 72.5, 2.7301, 6, 432, 17.8, 393.30, 12.04
42.262000, -71.028500, 2018, 25, 3417, 19.2, 19.2, 0.15098, 0.0, 10.01, 0, 0.547, 6.021, 82.6, 2.7474, 6, 432, 17.8, 394.51, 10.30
42.258000, -71.028500, 2019, 25, 3418, 20.4, 20.4, 0.13058, 0.0, 10.01, 0, 0.547, 5.872, 73.1, 2.4775, 6, 432, 17.8, 338.63, 15.37
42.260500, -71.019000, 2020, 25, 3419, 19.3, 19.3, 0.14476, 0.0, 10.01, 0, 0.547, 5.731, 65.2, 2.7592, 6, 432, 17.8, 391.50, 13.61
42.248300, -71.024300, 2021, 26, 3421, 22.0, 22.0, 0.06899, 0.0, 25.65, 0, 0.581, 5.870, 69.7, 2.2577, 2, 188, 19.1, 389.15, 14.37
42.250500, -71.031200, 2022, 26, 3422, 20.3, 20.3, 0.07165, 0.0, 25.65, 0, 0.581, 6.004, 84.1, 2.1974, 2, 188, 19.1, 377.67, 14.27
42.247000, -71.037700, 2023, 26, 3423, 20.5, 20.5, 0.09299, 0.0, 25.65, 0, 0.581, 5.961, 92.9, 2.0869, 2, 188, 19.1, 378.09, 17.93
42.243500, -71.037000, 2024, 26, 3424, 17.3, 17.3, 0.15038, 0.0, 25.65, 0, 0.581, 5.856, 97.0, 1.9444, 2, 188, 19.1, 370.31, 25.41
42.245000, -71.030800, 2025, 26, 3425, 18.8, 18.8, 0.09849, 0.0, 25.65, 0, 0.581, 5.879, 95.8, 2.0063, 2, 188, 19.1, 379.38, 17.58
42.243100, -71.026200, 2026, 26, 3426, 21.4, 21.4, 0.16902, 0.0, 25.65, 0, 0.581, 5.986, 88.4, 1.9929, 2, 188, 19.1, 385.02, 14.81
42.239500, -71.033300, 2027, 26, 3427, 15.7, 15.7, 0.38735, 0.0, 25.65, 0, 0.581, 5.613, 95.6, 1.7572, 2, 188, 19.1, 359.29, 27.26
42.235500, -71.053000, 2028, 27, 3501, 16.2, 16.2, 0.25915, 0.0, 21.89, 0, 0.624, 5.693, 96.0, 1.7883, 4, 437, 21.2, 392.11, 17.19
42.235000, -71.058000, 2029, 27, 3502, 18.0, 18.0, 0.32543, 0.0, 21.89, 0, 0.624, 6.431, 98.8, 1.8125, 4, 437, 21.2, 396.90, 15.39
42.236800, -71.063800, 2030, 27, 3503, 14.3, 14.3, 0.88125, 0.0, 21.89, 0, 0.624, 5.637, 94.7, 1.9799, 4, 437, 21.2, 396.90, 18.34
42.239000, -71.069200, 2031, 27, 3504, 19.2, 19.2, 0.34006, 0.0, 21.89, 0, 0.624, 6.458, 98.9, 2.1185, 4, 437, 21.2, 395.04, 12.60
42.240000, -71.075000, 2032, 27, 3505, 19.6, 19.6, 1.19294, 0.0, 21.89, 0, 0.624, 6.326, 97.7, 2.2710, 4, 437, 21.2, 396.90, 12.26
42.240500, -71.074500, 2033, 27, 3506, 23.0, 23.0, 0.59005, 0.0, 21.89, 0, 0.624, 6.372, 97.9, 2.3274, 4, 437, 21.2, 385.76, 11.12
42.245000, -71.079000, 2034, 27, 3507, 18.4, 18.4, 0.32982, 0.0, 21.89, 0, 0.624, 5.822, 95.4, 2.4699, 4, 437, 21.2, 388.69, 15.03
42.240500, -71.076000, 2035, 27, 3508, 15.6, 15.6, 0.97617, 0.0, 21.89, 0, 0.624, 5.757, 98.4, 2.3460, 4, 437, 21.2, 262.76, 17.31
42.236200, -71.075000, 2036, 27, 3509, 18.1, 18.1, 0.55778, 0.0, 21.89, 0, 0.624, 6.335, 98.2, 2.1107, 4, 437, 21.2, 394.67, 16.96
42.233500, -71.067700, 2037, 27, 3510, 17.4, 17.4, 0.32264, 0.0, 21.89, 0, 0.624, 5.942, 93.5, 1.9669, 4, 437, 21.2, 378.25, 16.90
42.232500, -71.063000, 2038, 27, 3511, 17.1, 17.1, 0.35233, 0.0, 21.89, 0, 0.624, 6.454, 98.4, 1.8498, 4, 437, 21.2, 394.08, 14.59
42.227500, -71.062000, 2039, 27, 3512, 13.3, 13.3, 0.24980, 0.0, 21.89, 0, 0.624, 5.857, 98.2, 1.6686, 4, 437, 21.2, 392.04, 21.32
42.230000, -71.056800, 2040, 27, 3513, 17.8, 17.8, 0.54452, 0.0, 21.89, 0, 0.624, 6.151, 97.9, 1.6687, 4, 437, 21.2, 396.90, 18.46
42.231200, -71.051800, 2041, 27, 3514, 14.0, 14.0, 0.29090, 0.0, 21.89, 0, 0.624, 6.174, 93.6, 1.6119, 4, 437, 21.2, 388.08, 24.16
42.226500, -71.054300, 2042, 27, 3515, 14.4, 14.4, 1.62864, 0.0, 21.89, 0, 0.624, 5.019, 100.0, 1.4394, 4, 437, 21.2, 396.90, 34.41
42.222200, -71.048000, 2043, 28, 3521, 13.4, 13.4, 3.32105, 0.0, 19.58, 1, 0.871, 5.403, 100.0, 1.3216, 5, 403, 14.7, 396.90, 26.82
42.223000, -71.051900, 2044, 28, 3522, 15.6, 15.6, 4.09740, 0.0, 19.58, 0, 0.871, 5.468, 100.0, 1.4118, 5, 403, 14.7, 396.90, 26.42
42.220500, -71.051000, 2045, 28, 3523, 11.8, 11.8, 2.77974, 0.0, 19.58, 0, 0.871, 4.903, 97.8, 1.3459, 5, 403, 14.7, 396.90, 29.29
42.219000, -71.054000, 2046, 28, 3524, 13.8, 13.8, 2.37934, 0.0, 19.58, 0, 0.871, 6.130, 100.0, 1.4191, 5, 403, 14.7, 172.91, 27.80
42.221000, -71.059000, 2047, 28, 3525, 15.6, 15.6, 2.15505, 0.0, 19.58, 0, 0.871, 5.628, 100.0, 1.5166, 5, 403, 14.7, 169.27, 16.65
42.222200, -71.055500, 2048, 28, 3526, 14.6, 14.6, 2.36862, 0.0, 19.58, 0, 0.871, 4.926, 95.7, 1.4608, 5, 403, 14.7, 391.71, 29.53
42.224000, -71.056700, 2049, 28, 3527, 17.8, 17.8, 2.33099, 0.0, 19.58, 0, 0.871, 5.186, 93.8, 1.5296, 5, 403, 14.7, 356.99, 28.32
