ID,DateTime,Record,Status,Lat,Lon,Wind,Pressure,NE_34kt,SE_34kt,SW_34kt,NW_34kt,NE_50kt,SE_50kt,SW_50kt,NW_50kt,NE_64kt,SE_64kt,SW_64kt,NW_64kt
AL092007, 2007-09-12T06:00:00Z, U, LO, 27.3, -95.0, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL192011, 2011-11-12T06:00:00Z, U, EX, 38.0, -57.2, 35.0, 1000.0, 150.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062016, 2016-08-22T12:00:00Z, U, TD, 24.5, -59.1, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL152017, 2017-09-23T00:00:00Z, U, HU, 23.7, -71.6, 105.0, 953.0, 160.0, 130.0, 100.0, 120.0, 80.0, 60.0, 60.0, 70.0, 50.0, 40.0, 35.0, 30.0
AL052011, 2011-08-02T00:00:00Z, U, TS, 14.9, -61.4, 40.0, 1007.0, 75.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122010, 2010-09-15T12:00:00Z, U, HU, 17.7, -32.2, 120.0, 948.0, 105.0, 75.0, 75.0, 90.0, 40.0, 30.0, 30.0, 30.0, 30.0, 20.0, 20.0, 20.0
AL102011, 2011-08-27T00:00:00Z, U, LO, 15.8, -33.9, 25.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042016, 2016-06-19T18:00:00Z, U, TD, 19.8, -94.6, 30.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092005, 2005-08-15T00:00:00Z, U, HU, 34.9, -69.5, 70.0, 989.0, 90.0, 90.0, 40.0, 60.0, 40.0, 40.0, 20.0, 30.0, 20.0, 20.0, 0.0, 0.0
AL112016, 2016-09-15T12:00:00Z, U, TS, 31.9, -78.7, 40.0, 1007.0, 70.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162016, 2016-11-24T00:00:00Z, U, HU, 11.2, -81.8, 80.0, 980.0, 50.0, 50.0, 50.0, 50.0, 20.0, 20.0, 20.0, 20.0, 10.0, 10.0, 10.0, 10.0
AL092012, 2012-08-22T18:00:00Z, U, TS, 16.1, -60.4, 45.0, 1004.0, 150.0, 0.0, 0.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042010, 2010-08-05T00:00:00Z, U, DB, 20.4, -62.5, 40.0, 1009.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122016, 2016-09-15T18:00:00Z, U, TS, 17.7, -30.8, 35.0, 1006.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012014, 2014-07-09T12:00:00Z, U, EX, 59.8, -55.7, 25.0, 1005.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172017, 2017-10-07T00:00:00Z, U, LO, 32.9, -37.3, 25.0, 1011.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL102015, 2015-09-21T06:00:00Z, U, TS, 19.7, -47.3, 45.0, 1002.0, 150.0, 160.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012014, 2014-07-02T12:00:00Z, U, TS, 28.7, -79.0, 55.0, 995.0, 60.0, 70.0, 50.0, 40.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012010, 2010-06-30T00:00:00Z, U, HU, 23.0, -94.4, 65.0, 973.0, 150.0, 150.0, 75.0, 130.0, 80.0, 80.0, 30.0, 40.0, 15.0, 15.0, 15.0, 15.0
AL082010, 2010-09-03T18:00:00Z, U, TS, 29.6, -66.0, 35.0, 1011.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112013, 2013-10-03T06:00:00Z, U, TS, 30.1, -41.7, 35.0, 1007.0, 60.0, 60.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072010, 2010-08-29T06:00:00Z, U, TS, 16.7, -56.5, 55.0, 991.0, 130.0, 100.0, 80.0, 100.0, 60.0, 40.0, 30.0, 60.0, 0.0, 0.0, 0.0, 0.0
AL072006, 2006-09-08T12:00:00Z, U, TS, 21.7, -58.8, 40.0, 1002.0, 350.0, 250.0, 0.0, 250.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092017, 2017-08-17T00:00:00Z, U, LO, 13.6, -50.6, 25.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL012017, 2017-04-17T12:00:00Z, U, EX, 32.7, -46.1, 45.0, 989.0, 150.0, 150.0, 270.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072013, 2013-09-07T00:00:00Z, U, DB, 21.2, -68.7, 20.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052005, 2005-07-17T00:00:00Z, U, HU, 17.1, -79.5, 140.0, 929.0, 130.0, 80.0, 50.0, 110.0, 90.0, 30.0, 25.0, 50.0, 50.0, 20.0, 15.0, 30.0
AL132017, 2017-09-07T00:00:00Z, U, HU, 21.7, -94.9, 70.0, 989.0, 50.0, 40.0, 40.0, 20.0, 20.0, 20.0, 20.0, 10.0, 10.0, 10.0, 10.0, 0.0
AL192010, 2010-10-21T12:00:00Z, U, TS, 16.7, -80.6, 35.0, 1006.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162007, 2007-10-28T06:00:00Z, U, TD, 16.0, -71.4, 30.0, 1002.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032005, 2005-07-09T18:00:00Z, U, EX, 43.5, -69.6, 30.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092014, 2014-10-24T00:00:00Z, U, LO, 17.9, -89.4, 20.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL252005, 2005-10-18T06:00:00Z, U, TS, 15.7, -79.9, 60.0, 982.0, 60.0, 60.0, 50.0, 60.0, 20.0, 20.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0
AL022008, 2008-07-21T06:00:00Z, U, EX, 58.5, -27.0, 45.0, 990.0, 120.0, 330.0, 240.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082004, 2004-08-30T06:00:00Z, U, TS, 33.8, -71.5, 50.0, 1002.0, 50.0, 50.0, 40.0, 40.0, 25.0, 25.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142016, 2016-10-05T18:00:00Z, U, HU, 22.2, -75.4, 105.0, 963.0, 160.0, 140.0, 70.0, 90.0, 70.0, 60.0, 40.0, 60.0, 40.0, 30.0, 30.0, 40.0
AL092017, 2017-09-02T06:00:00Z, U, EX, 37.9, -84.9, 20.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL142016, 2016-10-08T00:00:00Z, U, HU, 30.7, -80.6, 95.0, 949.0, 180.0, 150.0, 80.0, 120.0, 80.0, 70.0, 50.0, 50.0, 50.0, 50.0, 30.0, 35.0
AL182005, 2005-09-23T06:00:00Z, U, HU, 26.5, -90.7, 115.0, 924.0, 180.0, 150.0, 120.0, 140.0, 120.0, 100.0, 80.0, 100.0, 75.0, 60.0, 40.0, 50.0
AL132004, 2004-09-21T00:00:00Z, U, TS, 13.7, -37.4, 55.0, 994.0, 45.0, 45.0, 45.0, 45.0, 15.0, 15.0, 15.0, 15.0, 0.0, 0.0, 0.0, 0.0
AL092017, 2017-09-01T18:00:00Z, U, EX, 36.5, -86.4, 20.0, 1004.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL082006, 2006-09-19T06:00:00Z, U, HU, 38.1, -40.2, 90.0, 970.0, 60.0, 100.0, 100.0, 110.0, 40.0, 60.0, 60.0, 40.0, 25.0, 35.0, 35.0, 25.0
AL122016, 2016-09-22T18:00:00Z, U, TS, 25.3, -62.9, 35.0, 1005.0, 80.0, 0.0, 0.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL022013, 2013-06-20T18:00:00Z, U, TD, 19.6, -97.0, 30.0, 1007.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172010, 2010-10-13T12:00:00Z, U, EX, 37.6, -22.6, 35.0, 1004.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL062010, 2010-08-31T06:00:00Z, U, LO, 41.2, -44.8, 55.0, 981.0, 270.0, 360.0, 300.0, 240.0, 90.0, 150.0, 90.0, 90.0, 0.0, 0.0, 0.0, 0.0
AL082011, 2011-08-22T06:00:00Z, U, TD, 18.6, -96.2, 25.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL282005, 2005-11-16T12:00:00Z, U, TD, 14.7, -73.1, 25.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL182012, 2012-10-24T12:00:00Z, U, HU, 16.6, -76.9, 65.0, 981.0, 120.0, 160.0, 70.0, 70.0, 50.0, 60.0, 40.0, 30.0, 20.0, 20.0, 0.0, 0.0
AL112015, 2015-10-05T12:00:00Z, U, HU, 34.4, -65.2, 75.0, 964.0, 170.0, 170.0, 140.0, 130.0, 70.0, 70.0, 50.0, 50.0, 35.0, 35.0, 30.0, 20.0
AL092004, 2004-09-02T18:00:00Z, U, TD, 9.7, -27.6, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL032005, 2005-07-10T06:00:00Z, U, EX, 45.5, -70.0, 30.0, 1006.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112008, 2008-09-27T18:00:00Z, U, HU, 33.3, -69.7, 70.0, 995.0, 180.0, 140.0, 0.0, 110.0, 90.0, 90.0, 0.0, 45.0, 60.0, 0.0, 0.0, 0.0
AL122005, 2005-08-29T00:00:00Z, U, HU, 27.2, -89.2, 140.0, 905.0, 200.0, 200.0, 150.0, 180.0, 120.0, 120.0, 75.0, 100.0, 90.0, 90.0, 60.0, 80.0
AL272005, 2005-10-29T00:00:00Z, U, TS, 13.4, -81.2, 60.0, 988.0, 40.0, 40.0, 40.0, 40.0, 20.0, 20.0, 20.0, 20.0, 0.0, 0.0, 0.0, 0.0
AL092004, 2004-09-09T00:00:00Z, U, HU, 13.3, -68.3, 130.0, 938.0, 140.0, 125.0, 75.0, 140.0, 100.0, 75.0, 35.0, 100.0, 50.0, 25.0, 25.0, 50.0
AL042017, 2017-07-06T18:00:00Z, U, TD, 13.8, -44.1, 25.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL022007, 2007-06-03T18:00:00Z, U, EX, 33.7, -78.4, 40.0, 994.0, 150.0, 150.0, 150.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172017, 2017-10-09T18:00:00Z, U, TS, 31.7, -39.6, 40.0, 1005.0, 60.0, 40.0, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052012, 2012-08-07T12:00:00Z, U, HU, 17.8, -84.4, 65.0, 988.0, 120.0, 100.0, 30.0, 60.0, 40.0, 0.0, 0.0, 0.0, 20.0, 0.0, 0.0, 0.0
AL142012, 2012-09-29T06:00:00Z, U, HU, 31.4, -35.7, 65.0, 988.0, 100.0, 70.0, 60.0, 80.0, 40.0, 30.0, 30.0, 40.0, 25.0, 0.0, 0.0, 0.0
AL212010, 2010-10-30T09:00:00Z, L, TS, 13.0, -59.5, 60.0, 997.0, 90.0, 50.0, 50.0, 90.0, 30.0, 0.0, 0.0, 30.0, 0.0, 0.0, 0.0, 0.0
AL122010, 2010-09-20T18:00:00Z, U, LO, 34.6, -46.0, 40.0, 1002.0, 135.0, 150.0, 75.0, 120.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112010, 2010-09-23T00:00:00Z, U, EX, 58.5, -51.0, 60.0, 960.0, 450.0, 400.0, 350.0, 400.0, 220.0, 240.0, 160.0, 180.0, 0.0, 0.0, 0.0, 0.0
AL142010, 2010-09-27T06:00:00Z, U, LO, 26.8, -30.1, 30.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052012, 2012-08-07T00:00:00Z, U, TS, 16.7, -82.2, 55.0, 994.0, 110.0, 60.0, 0.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL072009, 2009-09-18T06:00:00Z, U, LO, 25.3, -64.7, 25.0, 1012.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042008, 2008-07-25T18:00:00Z, U, TD, 29.4, -105.0, 25.0, 1009.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL112009, 2009-11-10T18:00:00Z, U, EX, 30.6, -87.2, 30.0, 1002.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL172007, 2007-12-12T12:00:00Z, U, TS, 19.1, -73.8, 35.0, 1008.0, 300.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092006, 2006-09-25T06:00:00Z, U, EX, 44.1, -33.3, 65.0, 966.0, 225.0, 300.0, 350.0, 300.0, 100.0, 175.0, 175.0, 200.0, 0.0, 100.0, 100.0, 100.0
AL142012, 2012-09-30T18:00:00Z, U, HU, 37.2, -38.9, 80.0, 978.0, 110.0, 90.0, 70.0, 80.0, 50.0, 40.0, 40.0, 40.0, 30.0, 25.0, 20.0, 25.0
AL122005, 2005-08-27T18:00:00Z, U, HU, 24.5, -85.3, 100.0, 948.0, 140.0, 90.0, 90.0, 130.0, 70.0, 70.0, 60.0, 70.0, 45.0, 35.0, 35.0, 35.0
AL022007, 2007-06-02T12:00:00Z, U, TS, 27.0, -83.2, 40.0, 1000.0, 80.0, 40.0, 30.0, 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL052008, 2008-08-03T12:00:00Z, U, TD, 28.1, -87.4, 25.0, 1010.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL252005, 2005-10-16T00:00:00Z, U, TD, 17.6, -78.8, 25.0, 1004.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL022013, 2013-06-20T06:00:00Z, U, TS, 19.6, -95.9, 40.0, 1003.0, 70.0, 50.0, 30.0, 30.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL162007, 2007-10-29T00:00:00Z, U, TS, 17.1, -72.1, 50.0, 999.0, 120.0, 90.0, 0.0, 75.0, 40.0, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 0.0
AL152017, 2017-09-26T00:00:00Z, U, HU, 32.0, -73.1, 70.0, 966.0, 180.0, 180.0, 160.0, 160.0, 120.0, 120.0, 90.0, 90.0, 90.0, 90.0, 0.0, 0.0
AL152012, 2012-10-04T18:00:00Z, U, TS, 21.0, -41.5, 45.0, 996.0, 180.0, 140.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL152005, 2005-09-10T12:00:00Z, U, TS, 34.5, -45.9, 45.0, 997.0, 75.0, 175.0, 175.0, 125.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL122010, 2010-09-17T00:00:00Z, U, HU, 23.1, -42.0, 75.0, 981.0, 105.0, 105.0, 75.0, 105.0, 60.0, 50.0, 30.0, 50.0, 30.0, 20.0, 20.0, 30.0
AL052013, 2013-08-15T00:00:00Z, U, TD, 13.9, -23.3, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL042007, 2007-08-20T06:00:00Z, U, HU, 17.6, -79.8, 130.0, 926.0, 180.0, 150.0, 75.0, 120.0, 80.0, 70.0, 50.0, 75.0, 50.0, 40.0, 30.0, 50.0
AL092010, 2010-09-02T12:00:00Z, U, TD, 13.3, -38.8, 30.0, 1008.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
AL092006, 2006-09-23T18:00:00Z, U, HU, 37.7, -45.4, 75.0, 963.0, 225.0, 225.0, 300.0, 300.0, 90.0, 150.0, 150.0, 175.0, 0.0, 100.0, 90.0, 90.0
AL142017, 2017-09-22T00:00:00Z, U, DB, 29.3, -48.3, 25.0, 1016.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
